Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
NH4N,COL-SAL,mg/l,Total Ammonia Nitrogen,Salicylate method,Colorimetry,ISO 7150-1,ISO 1984,The sample is filtered through a membrane filter if suspended particles exist. The sample is reacted with salicylate and hypochlorite in the presence of sodium nitroprusside to form a blue compound. Hypochlorite is generated in situ by the alkaline hydrolysis of sodium dichloroisocyanurate. The blue compound is measured spectrometrically at 655 nm and compared with a series of standard solutions and a blank treated in the same way
NH4N,IC-CSC,mg/l,Total Ammonia Nitrogen,Ion Chromatography with Chemical Suppression of Eluent Conductivity,Chromatography,ISO 14911,ISO 1998,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C The sample aliquot is injected into an eluent stream and pumped through two columns (separator and suppressor columns) before being detected by conductivity, identified by its retention time and peak height or area and compared to identically-prepared standard and blank solutions."
NH4N,NH3-COL-PHOT,mg/l,Total Ammonia Nitrogen,Palintest Photometer Method - Ammonia (TUBETESTS AMMONIA/50N),Colorimetry,PHOT.94.AUTO,PALINTEST 2013,The Palintest Tubetests Ammonia/50N (Nessler) test is based on the Nessler method. Nessler's reagent (potassium tetraiodomercurate (II)) reacts rapidly with ammonia under alkaline conditions to form an orange-brown product. Remove the cap of the Tubetests Ammonia/50N (Nessler) Tube and add 1.0 ml of sample using a pipettor or Pasteur pipette. Cap tube and invert three times to mix. Add 0.5 ml of Tubetests Ammonia (Nessler) Reagent. Replace cap and invert several times to mix. Stand for one minute to allow colour development. Take photometer reading in usual manner.
NH4N,NH3-COL-SAL-Auto,mg/l,Total Ammonia Nitrogen,Automated Salicylate method without dialysis,Colorimetry,ISO 7150-2,ISO 1986,"Spectrometric measurement at about 650 nm of the blue compound formed by reaction of ammonium with salicylate and hyptochloride ions in the presence of sodium nitrosopentacyanoferrate(III) (sodium nitroprusside).~r~n ~r~n Hypochlorite ions are generated by the alkaline hydrolysis of 1,3-dichloro-5-sodio-1,3,5-triazinanetrione (sodium dichloroisocyanurate). Reaction of the resulting chloroamine with sodium salicylate takes place at pH 12,6 in the presence of nitroprusside. Any chloroamines present in the Sample are quantitatively determined as a consequence. Sodium citrate is added to mask interference from cations, notably Calcium and magnesium. ~r~n ~r~n All reactions are carried out automatically using continuous flow techniques. The absorbance of the coloured compound is measured in a flow-through spectrometer. ~r~n ~r~n Two distinct analytical manifold configurations are specified. One incorporates a dialyser block and is suitable for the determination of ammonium nitrogen concentrations up to 50 mg/l. The other omits the dialyser and is suitable for the determination of low level ammonium nitrogen concentrations up to 0,5 mg/l."
NH4N,NH3-ISE,mg/l,Total Ammonia Nitrogen,Ammonia-Selective Electrode Method,Electrochemical Analysis,SM 4500-NH3 D,APHA 2012,A sample is preserved in the field at 4°C. The sample aliquot is adjusted to pH 12 or greater using a 10 molar solution of NaOH. An identically-prepared series of NH4Cl standard and blank solutions are prepared and used to calibrate the ion specific electrode meter. The ammonia concentration of the sample is read directly and corrected to 25°C
NH4N,NH3-ISE-DST,mg/l,Total Ammonia Nitrogen,Ammonia-Selective Electrode Method (Following Distillation),Electrochemical Analysis,"4500-NH3 B, D",APHA 2012,
Ni-Dis,AAS-E,mg/l,Nickel - Dissolved,Electrothermal Atomic Absorption Spectrometric Method,Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is heated, usually in three stages in a graphite furnace or an electrically heated atomiser where: at the first stage, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilising other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the nickel to be determined. The absorbance of the resultant ground state atoms is measured at 232.0 nm and is compared to identically-prepared standard and blank solutions."
Ni-Dis,FAAS-AAc-D,mg/l,Nickel - Dissolved,Direct Air-Acetylene Flame Atomic Absorption Spectrometry (Magnesium),Spectroscopy,SM 3111 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The acidified aliquot is aspirated and the absorbance is measured spectrometrically at 232.0 nm and compared with identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Ni-Dis,FAAS-AAc-E,mg/l,Nickel - Dissolved,Extraction/Air-Acetylene Flame Atomic Absorption Spectrometry,Spectroscopy,SM 3111 C,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is buffered to 4.75. Ammonium pyrrolidine dithiocarbamate (APDC) solution is added to the aliquot then extracted with a methyl isobutyl ketone (MIBK) solution. The solvent layer (See Appendix 5) is aspirated at the wavelength of 232.0 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Ni-Dis,ICP-AES,mg/l,Nickel - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,The sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. A sample aliquot is aspirated and the emission is measured at 231.6 nm and compared with identically-prepared standard and blank solutions.
Ni-Dis,ICP-AES-Xtr,mg/l,Nickel - Dissolved,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is concentrated appropriately, and aspirated from an autosampler. The emission is compared to identically-prepared standard and blank solutions."
Ni-Dis,ICP-MS,mg/l,Nickel - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
Ni-Dis,ICP-MS-CVD,mg/l,Nickel - Dissolved,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Water samples are filtered, preserved with 2% nitric acid, and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS."
Ni-Tot,AAS-E-NA-AR,mg/l,Nickel - Total,Electrothermal Atomic Absorption Spectrometric Method with HNO3 or HNO3+3HCl Digestion,Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid or aqua regia. The aliquot is then heated, usually in three stages in a graphite furnace or an electrically heated atomiser in which: in the first stage, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilising other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the nickel to be determined. The absorbance of the resultant ground state atoms is measured at 232.0 nm and is compared to identically-prepared standard and blank solutions."
Ni-Tot,FAAS-AAc-D-NA,mg/l,Nickel - Total,Direct Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 Digestion,Spectroscopy,SM 3111 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid. The digest is aspirated and the absorbance is measured spectrometrically at 232.0 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Ni-Tot,FAAS-AAc-E-NA,mg/l,Nickel - Total,Extraction/Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 digestion,Spectroscopy,SM 3111 C,APHA 2012,"A sample is preserved in the field with nitric acid. A sample aliquot is digested in nitric acid. The digest is buffered to 4.75. Ammonium pyrrolidine dithiocarbamate (APDC) solution is mixed to the digest then extracted with a methyl isobutyl ketone (MIBK) solution. The solvent layer (See Appendix 5) is aspirated at the wavelength of 232.0 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Ni-Tot,ICP-AES-Dgs,mg/l,Nickel - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,A sample is preserved in the field with nitric acid. The sample aliquot is digested in an aqua regia solution and evaporated to near dryness. The residue is dissolved in concentrated HCl and diluted to one-fifth of the aliquot original volume. The emission is measured spectrometrically at 231.6 nm and compared to identically-prepared standard and blank solutions.
Ni-Tot,ICP-AES-Xtr,mg/l,Nickel - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid or aqua regia, concentrated appropriately, and aspirated from an autosampler. The emission is measured at 231.6 nm and compared to identically-prepared standard and blank solutions."
Ni-Tot,ICP-MS,mg/l,Nickel - Total,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard solutions."
Ni-Tot,ICP-MS-CVD,mg/l,Nickel - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Ni-Tot,ICP-SFMS-CVD,mg/l,Nickel - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
NOxN,COL-AZO-Cd,mg/l,Nitrate and Nitrite,Cadmium Reduction Method,Colorimetry,SM 4500-NO3 E,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is passed through a coil, filled with cadmium filings, to reduce the nitrates to nitrites. The resulting nitrites, plus the original nitrites, are then reacted with sulphanilamide to form a diazo compound. This compound is then reacted with N-(1-naphthyl) ethylenediamine dihydrochloride to form an azo dye. The azo dye colour intensity, proportional to the nitrate + nitrite concentration, is determined colourimetrically at 520 nm [Japan uses 540 nm] and compared to identically-prepared standard and blank solutions."
